,title,hits
322,서버 한장 아이콘 즐라탄을 먼저 써봤습니다 [23' 뿌드컵 팀리뷰 3부],404144
0,드록바 풀스토리 스페셜 ( 축구의 신),371945
217,"서버최초 ""아이콘 드록바"" 은카 강화 성공!! 3000억의 기적! 영상 공개합니다! 피파4",362503
488,피온4 미래를 보는 축구선수 | EBS 인자기 8카 리뷰,358545
110,7부 리그에서 '1부까지' 올라온 축구 선수?,355669
518,디디에 드록바는 얼마나 좋았습니까?,354285
364,이제는 급여 240 금액별 첼시 스쿼드 이렇게 맞추세요!,350310
444,Dider Drogba 2010/2011 - Unstoppable [HD 720p],347072
408,무드릭 폼 미쳤다 #60초 데뷔 하이라이트🔥,339339
598,훈수 두는 시청자분들 스쿼드 얼마나 잘 짜는지 봅시다,338334
318,"사도 되는 즐라탄, 드로그바 VS 사면 안되는 즐라탄, 드로그바 피파4",333229
37,피온4 드디어 영접!! 이거는 진짜 와…,332743
77,[WPT외전] 최강 고인물 첼시팬!! 첼지현이 좋아하는 첼시 인물 32강,325767
594,이상호의 억지성 7카 숨 못쉴 때까지 패버리기,306742
495,첼 조콜 금카로 끝판왕 첼시 올금카를 맞춘다면? 11조 스쿼드 메이킹! 피파4,295317
491,Drogba was different🥶,291991
241,딸배의 드록바급 슬라이딩 세레머니 #shorts,290559
418,"한준희, 스카우터가 말하는 아이콘 재평가 떡상해야 할 선수들 l [피파의 모든 것 3화]",288400
482,2조 장전완료 '급여 230' 성능 첼시 스쿼드 제작완료 팀 진짜 야무지다ㅋㅋ 피파4,286443
289,2022년 최고의 하남자 리빌딩 피파4,271680
578,홀란드가 된듯한 느낌을 주는 최신 기술,269453
193,50초만에 신을 잠재운 박지성,269127
287,END.. 원창연 피파4,266664
17,티에리 앙리 풀스토리 스페셜 ( 런던의 왕이었던 축구선수 ),266017
41,"드록바,램파드 vs 토레스,제라드 전쟁같은 챔스8강전 ㄷㄷ",265619
498,돈값하는 아이콘 TOP 10,265273
103,드록바 8카 산 뀨알 언니 23히어로즈 포를란으로 혼내주기!,264644
146,아이콘 드록바 은카 괴물 등장;; 헤딩 능력치 134;; 골 다 들어간다ㅋㅋ 피파4,256271
135,본캐 첼시 이제는 LN시즌 드록바 금카 갑니다 27조 구단 완성각 피파4,249731
493,에부에가 '한국어 초급'이 된 이유 / 2010 FIFA 남아공월드컵 G조 3차전 북한 vs 코트디부아르 [습츠_월드컵 클래식],240030
269,존테리 금카 들고오셨다 감성 첼시 스쿼드 도전 팀 진짜ㅋㅋㅋ,237914
510,Drogba Selfie With Mbappe at Ballon Dor Ceremony,237082
475,"Chelsea 2014 UCL vs Shalke 🤔🔥 How old are they ? (Courtois, Drogba, Hazard, Willian)",236765
46,본캐 첼시 드디어 '드록바 금카' 샀습니다 감성의 끝 공개합니다,229670
76,드록바가 아닌 드로그바인 이유,226068
21,피온4 역사상 가장 충격적인 공격수 | LN 드로그바 8카 리뷰,223881
108,이름 바뀌고 근본 잃은 선수 TOP5 피파4,213162
566,베컴과 루니에게 한 수 알려준 지네딘 지단의 '그 날',209916
20,오늘부터 드록바 모먼트 양발 핵존버,205830
196,우리가 알던 그 램파드가 아님! 체감 도라방스,197744
600,패치 이후 실력이 떡상해버린 상나라의 장군 임유진..?,197499
339,7명 공개!,192077
180,5천억 새 남자친구 영입했습니다.. 1조 3천억 첼시 완성 !!!!,191053
36,전쟁까지 멈췄던 레전드 '드록신'.. 조국이 위기에 처하자 다시 한 번 나섰다,189771
11,이 전쟁을 끝내러 왔다...! 내 나라를 지키기 위해 무릎 꿇은 디디에 드로그바 [서프라이즈 14/6/29 방송],189325
335,DIDIER DROGBA FINAL MOMENT AT STAMFORD BRIDGE,187651
154,우상 드록바의 유니폼을 받고 기뻐하던 손흥민 이제는 뛰어넘을 차례!,184989
478,"10,000 Coins - DROGBA EPIC CARD Review ( Goals + Skills + Gameplay )",182420
595,관중 함성 소리까지 비슷하네 ㄷㄷㄷ 박지성 울버햄튼전 골 장면 판박이 #대전 #강윤성,181861
211,드록바 이 전쟁을 끝내러왔다 #shorts,176457
308,아이콘보다 좋은 MC드멘 금카..ㄷㄷ #shorts,175531
54,'반니vs드록신' 가슴이 웅장해지는 매치업🔥 / 2006 FIFA 독일월드컵 C조 2차전 네덜란드 vs 코트디부아르 [습츠_월드컵 클래식],171406
404,"피파4 팀컬러 클럽1순위 ""첼시"" 핵심 정리 (12월.ver)",171281
44,☠예능매치☠ 드록바와 스네이더가 레알을 상대로 클라쓰를 증명했던 경기! 갈라타사라이 vs 레알 마드리드ㅣ쵱내 × 스포티비,170270
2,"🎬시네마풋볼🎬 첼시 역사상 최고의 공격수, 디디에 드록바에 대한 이야기",167459
597,1조 장전! 드디어 쓴다.. 조지 베스트! 맨유 스쿼드 완성 갑시다! 피파4,165272
96,"[방구석토크] 드록바 = 아스날 담당 깡패, PL 각 클럽 담당 깡패는?",163541
129,드록바 안넘어진척ㅋㅋㅋㅋㅋㅋㅋㅋ,160991
243,??? : 자기야 드록바 금카 사주는 남자 어때?,157623
148,본캐 LN금카 드록바 삽니다 NEW첼시 스쿼드 공개! 피파4,156527
531,Sergen Yalçın Drogba İle Hakan Şükür'ü Kıyaslıyor #sergenyalçın #galatasaray,154263
520,남문파 배정렬과 전화로 맞다이 까는 윤태,154013
573,"""거제도 롱스톤"" 괴물의 등장..",152587
297,장지현이 직접 맞추는 피파4 첼시 낭만 스쿼드 l [응답하라 낭만피파 1화],149141
601,10000명이 감탄한 김재원의 미친 퍼포먼스ㄷㄷ (피파대회2편),149100
490,I Played with D. DROGBA and he was AMAZING 😱 🔥eFootball 23 mobile,147065
265,신규 MC시즌 드록바 떴다!! 시즌카 드록바 1대장 종결! 헤딩 슛팅 미쳤다;; 피파4,146733
278,"롤체계의 최대 문제아 두 명의 환장 문두 요네덱 (롤토체스 장인초대석, 피부미인드록바)",144878
29,번개돌이 접선 드록바야 미안해,143752
443,아이콘 재평가한다면 지금 당장 사야할 아이콘,142846
95,드록바 X사기였네;; 하루만에 1조4천억 로또당첨자의 꿈의 첼시 스쿼드 피파4,142167
204,[피부미인드록바 현실합방 1부] 드멘!! 쇼진 블루 이즈리얼 미쳤는데요? 이거 뭐야 진짜,141994
212,[피부미인드록바 현실합방 2부] 슈우우웅 누누 신세계 경험하고 정신 못차리는 드멘 ㅋㅋㅋ,140674
106,"드록바님 초대석 2부! 가카그케와 금단의 조합 3요들 3용병까지 (롤토체스 장인초대석, 팔차선)",138490
43,일본한테 진다고? 드록바 진행시켜!! #shorts #드록바 #야야투레 #worldcup #japan,138143
151,120억으로 감성 + 성능까지 섞은 첼시 단일 갑니다! 피파모바일,137786
97,[뿌드컵 팀리뷰 15화] 드록바는 진짜다.. 1조 코트디 드록바로 찢어보자 피파4,137216
442,첼시 엠버서더 시즌 선수 추천! 꼭 써봐야 할 선수들 짚어보겠습니다. /피파4,134302
53,드록바로 다시 돌아오게 되는 '이유',133206
42,"미들라이커 프랭크 램파드, 첼시 팬들이 그를 사랑할 수밖에 없었던 이유ㅣ맹피셜xSPOTV",132838
453,VAN PERSIE vs DROGBA vs TORRES,132346
363,다가올 시즌 첼시를 기대할 수 밖에 없는 이유 [#정오LIVE],129466
164,이 선수 1도 기대 안했는데 개좋네요ㅋㅋㅋ 리얼 미쳤어요ㅋㅋㅋ 원창연 피파4,128099
169,LH드록바 금카 계정 접속;; 중거리 헤더 진짜 미쳤다;; 신이 주신 카드.. 피파4,127891
98,[본캐 재결합] 오빠 내가 미안해..,126749
496,뀨알 : 티뉴야 오늘 전화 받아줄 수 있어??,126615
284,"1000억 드록바x베컴 괴물조합ㅋㅋ, X사기 첼레알 최신 스쿼드 만들었습니다. 피파4",123845
517,티뉴 : 방은 하나만 잡아라,123272
143,"[주간킹갓] 모쌀라, 9경기 연속 골!! 아프리카의 KING 가능?",120541
174,Drogba vs South Korean defenders,120219
349,피파3 BJ두치와뿌꾸 10u드로그바 10카 체감확인! 출정식!,119663
275,첼시 공격수로 셰우첸코를 쓰는 이유?,119499
85,피파4 드록바는 헤딩을 잘 따줄까?,118802
377,첼시를 한다면 이건 꼭 보세요!!! 피파4,117950
419,피파4 천상계 첼시 스쿼드 완벽 분석,117055
224,추억의 1⃣0⃣드록바로 갈기던 바페 ㅋㅋㅋ #피파4 #shorts,112855
64,넥스트필드 패치후 드로그바?,112828
63,드록바 금카 팔고 본캐 맨유로 갑니다,112506
534,첼시 FC - 독점 드록바 인터뷰,108175
251,드록바 골 세레모니ㅋㅋ,107648
447,아이콘 재평가 기념 크레스포 재영입?!,105626
101,본캐 6조 첼시 이제 끝났습니다,105021
572,켄달 제너가 찐으로 사랑한다는 이 브랜드!,103288
199,넥슨이 버린 아이콘 모먼트 TOP5 피파4,101109
316,역대 최악의 챔피언스리그 경기 | 첼시 vs 바르셀로나 하이라이트,100966
223,첼시 1티어 공격수 정리! (ST편),99979
469,한 시즌에 27골 넣었던 프랭크 램파드!! ● 골 폭풍을 몰아치는 미들라이커,99871
455,Drogba & Pele 🥶🔥👑 | #shorts #football,99722
88,"[방구석토크] 앙리-반니-드록바, 레전드 공격수들 발롱도르 최고 순위는?",96901
497,How Drogba SHOCKED The Internet,96727
94,챌린저 1900점으로 랭킹 1등을 찍고 돌아온 드멘.. 피부미인드록바 초대석 (롤토체스 장인초대석),95802
367,Didier Drogba ● 7 Goals & 2 Assists - Season 2014/15,94849
52,찾았다. 드록바 후계자. #Shorts,94045
428,이별은 언제나 갑작스레 찾아온다,91848
149,챔스에서 드라마를 쓴 첼시 풀스토리 스페셜,90935
465,그거다 무드릭! 그 감각을 기억해...!!! #Shorts,90776
457,첼시 포지션별 파워랭킹｜급여 240과 아이콘 모먼트로 더 강력해진 적폐팀 [넥스트필드ver. 피파4],89485
472,"""For me, Drogba is number one"" 🎯 #shorts",89427
206,"챌린저 1700점 랭킹 1등, 2등을 동시에 찍은 피부미인드록바님 초대석 (롤토체스 장인초대석, 팔차선)",85383
58,첼시에 피지컬 괴물이 있다고..?,85243
513,Didier Drogba's reaction to Chelsea winning FIFA Club World Cup 👏,84139
13,"전쟁을 멈춘 사나이… '드록신' 디디에 드록바, 지금 뭐하니? #SPORTSTIME",82718
374,니유미 드록바는너무심한데...,81586
197,파괴의 신이 나타났다 원창연 피파4,81528
69,가슴이 웅장해지는 첼시 스트라이커 대결,78870
78,제 진짜 남자친구를 소개합니다,77702
461,긴급!! 이 아이콘 선수들은 절대 재평가 없다!! 지금 절대 사지 마세요!! 피파4,76572
49,내 드록바가 가짜라니..,76139
504,Didier Drogba |Goals And Celebrations|,76119
75,"무리뉴 감독 ""구단주님, 닥치고 돈이나 내줘요."" (feat. 첼시 드록바)",72831
301,유일한 건장 체형 신규시즌 드록바 #shorts,72246
189,"전쟁을 끝내버린 사나이 ""드록바""의 모든것",72162
412,나만 알고 싶었던 월클에서 챌린지로 가는 골루트 공개,71755
351,"Claude Makélélé, Didier Drogba, Petr Čech Epic Cards ✨ #Shorts",71368
571,진짜 초대박 레전드!! 본계정에 300억 TP짜리 굴리트가 400FV로 나왔습니다 와;; 피파모바일,70563
216,피파4 드로그바 유저들이 도저히 못 쓰겠다고 현재 난리난 이유는? (피파 운영자님 이 선수 체감 해명좀요;;;),69619
185,"드멘 금카에 HG, RTN 신상 낭만 첼시 스쿼드 폼 미쳤다",68655
38,드록바가 비싼 이유...피파4,68275
310,드록바 스페셜 with FIFA Oline3,65225
31,피파4 아이콘 은카 망했네요 ㅋㅋㅋ,64636
401,"피파4 여캠한테 지고 3,000만 원 현질.. 김봉준 첼시의 시작!",64595
120,첼드록바 은카 샀다가 유정훈 짭소리 들음 ㅋㅋㅋㅋㅋ 봉훈 피파4,64218
353,Didier Drogba Was The ULTIMATE Big Game Player!!!🏆,63385
158,드록바 갖다 버리고 진짜 '쎈 놈' 영입 Fifaonline4 봉훈 피파4,62833
479,Drogba’s Goal that shocked 😳 the World!🔥,62584
138,"손흥민과 케인이 전생에 부부였다면? (feat. 램파드, 드록바)",62015
92,두사람을 동시에 사랑하는 '방법',61752
67,드록바의 자서전에 나온 무리뉴와의 일화들,61709
61,아이콘 모먼트 드록바,61641
190,이 조합은 못 참겠는데..?,59614
218,Top 10 역대 최고로 웃긴 골 세레모니 실패 모음 ● 최신,57583
247,"리산드라덱 장인 피부미인드록바님을 모셨습니다!! 꿀은 선착순 퍼지기 전에 얼른 보세요 (롤토체스 장인초대석, TFT set6, 팔차선)",56303
567,첼램덩크보고 감동 받아서 영입 했습니다,56053
117,아이콘 보다 커브가 좋다고?? 첼시 드로그바 키보드 리뷰. 피파4 키보드 슈챔. 방배우.,55914
60,"본캐 팀갈 “하드캐리 첼자르, 그냥 신 드록바, 그리고 혐모리...”",55138
452,파티마♥드록바 키스신!!,54646
6,롤모델 데프트 선수를 만났습니다...,54476
439,"Chelsea 2008 UCL Final vs Man UTD 🤔🔥 How old are they ? (Drogba, Lampard, Ballack, Cech)",54300
66,피파4 첼시에 드록바 왜 안씀?,53456
506,피파4 다음 더모먼트 이 선수네요 ㄷㄷ,52504
449,Impact of Drogba Power 100 in efootball 2023 Mobile#shorts #youtubeshorts #efootball,52381
162,드록바가 자꾸 내려오길래 전술 만들어버렸습니다. 타겟터 쓰시는 분들 이거 쓰시면 돼요! 피파4 한승엽 FIFA ONLINE4,52219
134,시청자 팀평가 1조 첼시 아이콘 드록바 - 램파드 은카가 침투를 안한다고요? 피파4,52037
484,재평가이후 양발가능성높은 아이콘 TOP 5 피파4,50859
45,경기 당 2골은 넣어주는 침투형 드록바 피파4,50413
51,"전쟁을 멈춘 사나이, MVP 드로그바 8진 8강 36특훈 리뷰! 피파모바일",49923
574,일본 피파 랭커는 10진 매물을 씁니다ㅋㅋ 나도 일피모 현질 드가자!! 피파모바일,49856
74,전쟁을 멈춘 축구선수,49669
376,피파 첼시 엠버서더 신규 시즌 좋은 선수는?!,49317
563,뭔가 예전 첼시 느낌 나기 시작하는 영입생들!(feat. 니콜라잭슨),48049
127,본캐 첼시 드록바 ㅡ 루카쿠 투톱 ㅋㅋㅋ 막 올려도 공식경기 1등ㅋㅋㅋ 피파4 강준호 FIFAONLINE4,47226
39,드로그바 각 잡고 써볼게요,47031
296,"첼시 레전드 지소연의 고별전 '박지성, 드록바 등 레전드들 총출동'",46799
140,드록바 스페셜,46266
505,DROGBA LAST KICK FOR CHELSEA 😍. #chelsea #football #shorts,45598
370,Didier Drogba Totals Goals,45061
424,Was Didier Drogba Overrated As A Player?,44751
521,epic DIDIER DROGBA🥶 #efootball #shorts,44398
48,아니 올리면 들어간다니깐 드록바 금카인데 왜 안올리냐고 !!!!!!!,44210
87,피파4 드록바 1타 강사님을 모셨습니다,43424
55,이 선수를 두고 왜 드록바를....본캐 8조 첼시 완성,42175
82,피파 스페셜리뷰ㅣCFA 드로그바,41983
153,일본상대로 지고있다가 드록신 드록바 투입하고 역전승하는 코트디부아르[2014브라질월드컵],41537
451,도록바 1화: 코리안 드록바가 탄생했습니다!,41173
236,[상큼함 MAX] 라임이 사람이라면 그건 바로 ′신봉선(Shin Bong sun)′♡ 아는 형님(Knowing bros) 201회,40297
260,피파4 드록바 있는 올 금카 마르세유 어때?,39870
172,아이콘 드록바 은카가 보여주는 이상하고 역한 골결 #shorts #피온4,39815
330,Didier Drogba l Legend l Career Highlights,39345
405,1대장 첼시 스트라이커 총정리,39231
569,네덜란드에서 사이비 등장했을 때 시민들의 반응은? (한국이랑 너무 다르네..),38787
228,아니 드록바 나온다며,38186
570,앙리가 골 넣고도 교체된 이유는? (feat. 과르디올라),38112
89,"[원투펀치] 드록바 VS 에투, 아프리카 역대 최고의 선수는?",37817
512,Drogba eh Drogba ah!,37022
107,콘드록바도 살리는 레전드 훈련코치 ㄷㄷㄷㄷ,36969
15,[드록바스페셜]드록신 디디에 드록바 스페셜,36454
282,EPL 역사상 최고의 스트라이커 TOP20,35603
168,본캐 첼시하면 당연히 이선수지 ㅋㅋ 아이콘 드맨 영입완료!! 피파4,35315
141,"[피파모바일] 전쟁을 멈춘 사나이, 첼시의 영원한 스트라이커 검은 예수 탑더비 드록바 리뷰!",35111
343,Didier Drogba's Sensational Half Volley vs Liverpool | Goal Of The Day #shorts,34939
177,"""900억으로 드록바 은카만들기..."" 피파4",33846
90,"첼시 레전드 드록바, 어린 팬에게 배신 당하다",33813
10,재평가 드록바의 시대가 왔다..?,33576
528,"🤝 Welcome, Renato Sanches! 🇵🇹 #asroma #dajeroma #sanches #newsignings",32697
125,말 한마디로 전쟁을 멈춘 남자 | 신이라고 불리운 사나이 디디에 드록바,32423
460,Drogba😈🥶,31346
471,Didier Drogba's Stunning Late Winner vs Everton | Goal Of The Day #shorts,31219
556,#denzbagusallvlog #drogba #teamsemvack,30710
327,드록바 도발.. '너 남자지?' #shorts,30679
116,인강해서 첼시 레전드 공격수 LN +5카 디디에 드록바 원맨팀 써봤다 피파4,29555
144,"[피파4-CFA]코트디부아르 ST, 디디에 드로그바 CFA 5카 리뷰와 골모음(fifa4 Cote d'Ivoire ST, Didier Drogba CFA 5 review)",28761
441,아이콘 3차 모먼트 유출? ㄷㄷ 피파4,28658
165,드록바 사용법 -피파4,26578
173,드록바 닮은 에타녀 #shorts,26478
254,전쟁을 멈춘 드록바,24286
464,Drogba is Ice Cold 🥶,24001
68,'환상의 콤비' EPL에서 36골을 합작한 드록바-램파드,23950
192,프딱이의 피파4 BTB 시즌 디디에 드로그바 리뷰,23910
266,피파4 실축 같은 3톱 전개 (첼시 3톱 졸라 - 드록바 - 조콜),23708
65,"피파4 첼시 드록바 금카 영입! 골 결정력, 몸싸움이 미쳤습니다..",22751
121,피파온라인3 드록바 스페셜,22667
564,마이클 조던이 슈퍼 대장. 그래도 나눠본 NBA 슈팅가드 20인 티어리스트!,21592
137,"Black Jesus Didier Drogba Drogba Special, 드로그바 스페셜",21546
1,죽기 전에 봐야 할 '디디에 드록바' 풀스토리 🇨🇮,21543
458,Drogba vs Aguero vs Rooney ⚽🥅,20894
368,안주 반이 없어졌어!! 파티마vs드록바,20869
538,국대에서는 에이스 첼시에서는 ㅂㅅ 하베르츠 #football,20853
104,"아이콘 드록바 5카 후기 [피온4,선수후기1][피온,첼시,드로그바]",20720
205,Didier Drogba All 160 Goals For Chelsea 2004-2015,20289
350,"꿀잼인 메시,호날두의 웃긴 광고,힘이 되는 광고",20144
70,맨유 vs 첼시 우리가 모두 아는 그 경기 I 박지성 인생 챔피언스리그 I 절망하는 드록바,19728
145,드록바 히든 특수능력 발동ㅋㅋ #shorts,19673
575,다시 3백! 카이세도 벤치! 첼시 vs 웨스트햄 입중계,19487
480,Thierry Henry Vs Didier Drogba,18649
523,How good was Didier Drogba?! #MOTDAfricaTop10 #BBCSounds #Podcasts,18043
590,"감스트 23/24 PL 1R 첼시 vs 리버풀 입중계, 포체티노 PL 복귀전 [23.8.13 PL 입중계]",17982
112,"[피파4-LN]코트디부아르 ST, 디디에 드로그바 LN 5카 리뷰와 골모음(fifa4 Cote d'Ivoire ST, Didier Drogba LN 5 review)",17901
494,"The Great Journey of ""Special One"" Jose Mourinho #3 - Marseille 2-4 FC Porto (agg) | UCL 2003/04",17783
445,Drogba vs Rooney 🥶,17442
84,첼시 스쿼드에 드록신을 왜 안 쓰는 걸까?,17373
5,트랙스 차주들의 만족도가 높은 5가지 이유,17260
550,Comment José Mourinho a vendu du rêve à Loïc Rémy à Chelsea #football #interview #chelsea,16547
346,피파온라인4 첼시 엠버서더 드로그바 미페 원본 ⚡️,16360
126,1대장 시즌 갱신! LN 디디에 드로그바 리뷰 피파4,16017
413,드록바: 누나 입에서 남자 냄새 나?! 😱 #shorts,15316
113,#7 대륙의 주인 [에투/드록바],15263
119,드록바가 쓰러지지 않아 - 피파4,14102
225,나 이제 드록바 얼굴만 봐도 웃겨ㅠ #드승준 #shorts,14010
245,양발로 출시될 아이콘 모먼트 TOP 5 피파4,13742
244,피파온라인4 팀 500억 팀 다팔고 첼시 엠버서더 디디에 드록바 5카 인생강화 도전 7월 16일 피파 강화데이,13183
71,드록바의 극적인 동점골이 이끈 우승!! ● 첼시 vs 바이에른 뮌헨 경기 하이라이트 - 2012/05/20,13133
568,라비아 첼시 오피셜! 엔조 - 카이세도와 조합은?,13098
526,"Didier Drogba의 라이프스타일, 순자산, 주택, 자동차 2022",13085
14,'디디에 드록바': 첼시 역사상 최고의 스트라이커,12829
178,아 몰랑 콘 드록 6카 도전 #피파온라인4 #피파4 #아이콘 #드록바,12468
314,뚝배기 0티어 캡드록바 드ㅡ멘,12450
529,Mudryk did the Drogba’s goal celebration against Leicester City,11601
4,드록바 전성기 시절 최정상급 레전드 민첩성,11594
259,드멘~ 드록신 레전더리 드록바 efootball2022모바일,11482
8,"돈 값 못하는 첼시, 카이세도 최악의 경기력 (웨스트햄 vs 첼시 주요 장면 분석)",11412
288,LH드로그바 리뷰! 찬양하라 드-멘 드록바!! 피파온라인4 FIFA Online4,11074
543,Legends On R9 - Ronaldo Nazario 🇧🇷 #football #goat #story #drogba #ronaldo #r9,11030
382,피파4 드록바와 아이들 '코트디부아르 스쿼드' #shorts #피파4,10850
27,"드록바의 수줍은 고백 “지단 형님, 제 유니폼 잘 있나요?”",10820
549,Vidic And Ferdinand Is Drogba's Nightmare | #shorts #vidic #rioferdinand #football #chelsea,10588
388,Epic Drogba Magical Moments | eFootball 2023 Mobile,10485
207,"""ICON 드로그바"" 첼시 원톱은 드멘!!! [피파4]",10476
